real_g01,imag_g01,real_g02,imag_g02,real_g03,imag_g03
1.037433147430419922e+00,1.006063103675842285e+00,1.037963628768920898e+00,1.006188273429870605e+00,1.037175893783569336e+00,1.005644559860229492e+00
1.039543271064758301e+00,1.004496335983276367e+00,1.040402412414550781e+00,1.004451036453247070e+00,1.039550781250000000e+00,1.004118204116821289e+00
9.774287343025207520e-01,9.885237216949462891e-01,9.772764444351196289e-01,9.892607927322387695e-01,9.766464829444885254e-01,9.881892204284667969e-01
9.772670865058898926e-01,9.901202917098999023e-01,9.771708250045776367e-01,9.907984733581542969e-01,9.765914678573608398e-01,9.898915290832519531e-01
1.002232789993286133e+00,9.965311884880065918e-01,1.001897931098937988e+00,9.972463846206665039e-01,1.001268744468688965e+00,9.961549043655395508e-01
1.003138065338134766e+00,9.966942071914672852e-01,1.002876996994018555e+00,9.974045753479003906e-01,1.002270460128784180e+00,9.963229894638061523e-01
9.905016422271728516e-01,1.001332044601440430e+00,9.916709065437316895e-01,1.001211404800415039e+00,9.909293651580810547e-01,1.001005887985229492e+00
9.899272322654724121e-01,1.004117846488952637e+00,9.919530749320983887e-01,1.003403663635253906e+00,9.910873174667358398e-01,1.003784537315368652e+00
9.929305315017700195e-01,9.983102083206176758e-01,9.930921792984008789e-01,9.989534616470336914e-01,9.924503564834594727e-01,9.978763461112976074e-01
9.943838119506835938e-01,9.946341514587402344e-01,9.942729473114013672e-01,9.954674839973449707e-01,9.936112165451049805e-01,9.942881464958190918e-01
1.032387733459472656e+00,1.001742959022521973e+00,1.032382607460021973e+00,1.002253890037536621e+00,1.031679153442382812e+00,1.001284241676330566e+00
1.030759096145629883e+00,1.003352880477905273e+00,1.030702114105224609e+00,1.003947615623474121e+00,1.029991865158081055e+00,1.002886056900024414e+00
9.801963567733764648e-01,9.940580725669860840e-01,9.816359281539916992e-01,9.937854409217834473e-01,9.808219075202941895e-01,9.935616254806518555e-01
9.800486564636230469e-01,9.949525594711303711e-01,9.813449978828430176e-01,9.947000145912170410e-01,9.805333614349365234e-01,9.946221709251403809e-01
1.004728555679321289e+00,9.974803328514099121e-01,1.004176616668701172e+00,9.984796643257141113e-01,1.003568410873413086e+00,9.973638057708740234e-01
1.002903819084167480e+00,9.980528354644775391e-01,1.002229094505310059e+00,9.991320967674255371e-01,1.001629352569580078e+00,9.980067610740661621e-01
9.976734519004821777e-01,9.972552657127380371e-01,9.983008503913879395e-01,9.973741769790649414e-01,9.975243210792541504e-01,9.967191219329833984e-01
9.990620613098144531e-01,9.945614337921142578e-01,9.997464418411254883e-01,9.946848154067993164e-01,9.990137815475463867e-01,9.940931797027587891e-01
9.795946478843688965e-01,9.939477443695068359e-01,9.792550206184387207e-01,9.948691129684448242e-01,9.787719845771789551e-01,9.938203692436218262e-01
9.776436090469360352e-01,9.936265349388122559e-01,9.773069024085998535e-01,9.945180416107177734e-01,9.768076539039611816e-01,9.934889674186706543e-01
9.905054569244384766e-01,9.992821812629699707e-01,9.905232787132263184e-01,9.999989271163940430e-01,9.899083971977233887e-01,9.990501403808593750e-01
