real_g01,imag_g01,real_g02,imag_g02,real_g03,imag_g03
1.017490863800048828e+00,1.003042459487915039e+00,1.017862796783447266e+00,1.003381133079528809e+00,1.017152309417724609e+00,1.002790451049804688e+00
1.018570780754089355e+00,9.994082450866699219e-01,1.018878102302551270e+00,9.998674988746643066e-01,1.018214583396911621e+00,9.991857409477233887e-01
1.006012201309204102e+00,9.983102083206176758e-01,1.006214261054992676e+00,9.986515045166015625e-01,1.005446910858154297e+00,9.977042675018310547e-01
1.004706025123596191e+00,9.980669617652893066e-01,1.004234313964843750e+00,9.989321827888488770e-01,1.003646850585937500e+00,9.978466033935546875e-01
9.939255118370056152e-01,9.913671016693115234e-01,9.935691356658935547e-01,9.922441244125366211e-01,9.930675029754638672e-01,9.912191033363342285e-01
9.947185516357421875e-01,9.909411668777465820e-01,9.951313734054565430e-01,9.911950826644897461e-01,9.944633245468139648e-01,9.904629588127136230e-01
9.968917369842529297e-01,1.011507034301757812e+00,9.988520741462707520e-01,1.010825991630554199e+00,9.979737401008605957e-01,1.010744571685791016e+00
9.998601675033569336e-01,1.009750604629516602e+00,1.001990199089050293e+00,1.008989095687866211e+00,1.001106739044189453e+00,1.008924603462219238e+00
9.952326416969299316e-01,1.000931501388549805e+00,9.959024190902709961e-01,1.001196026802062988e+00,9.952438473701477051e-01,1.000651836395263672e+00
9.965718388557434082e-01,9.970775842666625977e-01,9.966038465499877930e-01,9.977192878723144531e-01,9.959933161735534668e-01,9.968497157096862793e-01
1.002469539642333984e+00,9.996207356452941895e-01,1.003025770187377930e+00,9.998812079429626465e-01,1.002292990684509277e+00,9.991558194160461426e-01
1.003279924392700195e+00,9.997475147247314453e-01,1.002912759780883789e+00,1.000653266906738281e+00,1.002239227294921875e+00,9.993650913238525391e-01
9.816964864730834961e-01,1.008736014366149902e+00,9.845534563064575195e-01,1.007581949234008789e+00,9.834647178649902344e-01,1.007972478866577148e+00
9.892963171005249023e-01,9.996513724327087402e-01,9.905294775962829590e-01,9.995045661926269531e-01,9.897410273551940918e-01,9.993742704391479492e-01
1.007890582084655762e+00,9.996578693389892578e-01,1.007733345031738281e+00,1.000247001647949219e+00,1.007041931152343750e+00,9.993512630462646484e-01
1.009198784828186035e+00,9.991805553436279297e-01,1.009007215499877930e+00,9.998148679733276367e-01,1.008255004882812500e+00,9.988064765930175781e-01
9.815152883529663086e-01,9.961639642715454102e-01,9.821979999542236328e-01,9.963749051094055176e-01,9.814733266830444336e-01,9.956905841827392578e-01
9.808418750762939453e-01,9.941123723983764648e-01,9.817585945129394531e-01,9.942669868469238281e-01,9.810179471969604492e-01,9.936873316764831543e-01
1.002066969871520996e+00,1.002330303192138672e+00,1.002293586730957031e+00,1.002606987953186035e+00,1.001618385314941406e+00,1.001646161079406738e+00
9.996443986892700195e-01,1.003871917724609375e+00,1.000420331954956055e+00,1.003834724426269531e+00,9.997608065605163574e-01,1.003420472145080566e+00
1.007731556892395020e+00,1.007558584213256836e+00,1.008498430252075195e+00,1.007625102996826172e+00,1.007711410522460938e+00,1.006965398788452148e+00
1.005593419075012207e+00,1.007529973983764648e+00,1.006822228431701660e+00,1.007248878479003906e+00,1.006016254425048828e+00,1.006980061531066895e+00
9.911474585533142090e-01,9.967291355133056641e-01,9.911592602729797363e-01,9.973452091217041016e-01,9.904961585998535156e-01,9.965726137161254883e-01
9.908238053321838379e-01,9.963252544403076172e-01,9.902744293212890625e-01,9.973628520965576172e-01,9.896593093872070312e-01,9.962940812110900879e-01
9.976011514663696289e-01,9.933550357818603516e-01,9.980851411819458008e-01,9.936627745628356934e-01,9.973167181015014648e-01,9.928534030914306641e-01
9.982274770736694336e-01,9.942712783813476562e-01,9.984594583511352539e-01,9.948114156723022461e-01,9.978259801864624023e-01,9.939478635787963867e-01
1.003148317337036133e+00,9.963146448135375977e-01,1.002796411514282227e+00,9.971336126327514648e-01,1.002259850502014160e+00,9.961338043212890625e-01
1.004422426223754883e+00,9.952515363693237305e-01,1.003911018371582031e+00,9.961590766906738281e-01,1.003369808197021484e+00,9.951291084289550781e-01
1.017005920410156250e+00,1.004567384719848633e+00,1.017153501510620117e+00,1.005045890808105469e+00,1.016428470611572266e+00,1.004198670387268066e+00
1.013823032379150391e+00,1.009040832519531250e+00,1.014490365982055664e+00,1.009093046188354492e+00,1.013574600219726562e+00,1.008225440979003906e+00
9.921077489852905273e-01,9.997879862785339355e-01,9.919273853302001953e-01,1.000666022300720215e+00,9.913350343704223633e-01,9.996078014373779297e-01
9.920163750648498535e-01,9.994180798530578613e-01,9.921713471412658691e-01,1.000114083290100098e+00,9.915404915809631348e-01,9.992588758468627930e-01
1.001441836357116699e+00,9.966837167739868164e-01,1.001534461975097656e+00,9.973496198654174805e-01,1.000895261764526367e+00,9.966069459915161133e-01
1.000981092453002930e+00,9.973441362380981445e-01,1.001294732093811035e+00,9.977357387542724609e-01,1.000662565231323242e+00,9.970279932022094727e-01
9.927461147308349609e-01,9.917593002319335938e-01,9.928141832351684570e-01,9.925141334533691406e-01,9.922344088554382324e-01,9.916248917579650879e-01
9.905507564544677734e-01,9.934018850326538086e-01,9.905067682266235352e-01,9.942235350608825684e-01,9.899584650993347168e-01,9.933434724807739258e-01
9.908019304275512695e-01,9.981464743614196777e-01,9.907336235046386719e-01,9.987657070159912109e-01,9.901548027992248535e-01,9.979795813560485840e-01
9.910969138145446777e-01,9.977768063545227051e-01,9.909695386886596680e-01,9.984663128852844238e-01,9.903643131256103516e-01,9.974952936172485352e-01
9.896462559700012207e-01,9.989331960678100586e-01,9.891630411148071289e-01,9.998900890350341797e-01,9.884763956069946289e-01,9.987660050392150879e-01
9.891886115074157715e-01,9.985313415527343750e-01,9.886206388473510742e-01,9.995803833007812500e-01,9.879514575004577637e-01,9.984134435653686523e-01
1.007517337799072266e+00,9.930256605148315430e-01,1.008890628814697266e+00,9.926910400390625000e-01,1.008082747459411621e+00,9.925324320793151855e-01
1.007973670959472656e+00,9.944831728935241699e-01,1.009275555610656738e+00,9.941841959953308105e-01,1.008515596389770508e+00,9.941346645355224609e-01
9.955983161926269531e-01,9.992202520370483398e-01,9.960316419601440430e-01,9.996014833450317383e-01,9.953531026840209961e-01,9.988059401512145996e-01
9.951478242874145508e-01,9.979814291000366211e-01,9.952895641326904297e-01,9.984600543975830078e-01,9.945951700210571289e-01,9.976155757904052734e-01
9.946901202201843262e-01,9.990394115447998047e-01,9.954544305801391602e-01,9.991474151611328125e-01,9.947670698165893555e-01,9.985536336898803711e-01
9.939208626747131348e-01,1.001966953277587891e+00,9.949049949645996094e-01,1.001841545104980469e+00,9.941620826721191406e-01,1.001268386840820312e+00
9.878366589546203613e-01,9.975670576095581055e-01,9.884294271469116211e-01,9.977955222129821777e-01,9.878624677658081055e-01,9.972480535507202148e-01
9.900825023651123047e-01,9.950467944145202637e-01,9.905999898910522461e-01,9.953193664550781250e-01,9.899826049804687500e-01,9.945763945579528809e-01
9.951421022415161133e-01,9.909856319427490234e-01,9.949539303779602051e-01,9.917222261428833008e-01,9.943737983703613281e-01,9.907748699188232422e-01
9.937424659729003906e-01,9.933425188064575195e-01,9.940350055694580078e-01,9.936847686767578125e-01,9.933546185493469238e-01,9.929032325744628906e-01
9.901559352874755859e-01,1.002427577972412109e+00,9.899681806564331055e-01,1.003251791000366211e+00,9.893459081649780273e-01,1.002195596694946289e+00
9.904506206512451172e-01,1.002388119697570801e+00,9.905489087104797363e-01,1.003020048141479492e+00,9.898810982704162598e-01,1.002010226249694824e+00
9.942719936370849609e-01,9.954570531845092773e-01,9.940859675407409668e-01,9.963418841361999512e-01,9.935227036476135254e-01,9.954138398170471191e-01
9.928314685821533203e-01,9.955732822418212891e-01,9.924192428588867188e-01,9.966472983360290527e-01,9.919158220291137695e-01,9.957305192947387695e-01
1.015653252601623535e+00,1.006856679916381836e+00,1.016541242599487305e+00,1.006869912147521973e+00,1.015801072120666504e+00,1.006267547607421875e+00
1.016234517097473145e+00,1.006417870521545410e+00,1.017003417015075684e+00,1.006524324417114258e+00,1.016267299652099609e+00,1.005833029747009277e+00
1.015191078186035156e+00,1.007702708244323730e+00,1.016504645347595215e+00,1.007410645484924316e+00,1.015743017196655273e+00,1.007108330726623535e+00
1.014767646789550781e+00,1.007401823997497559e+00,1.016111254692077637e+00,1.007070779800415039e+00,1.015331506729125977e+00,1.006722092628479004e+00
9.748771786689758301e-01,9.917078018188476562e-01,9.756550788879394531e-01,9.919248223304748535e-01,9.749652743339538574e-01,9.913747310638427734e-01
9.771631360054016113e-01,9.930385947227478027e-01,9.777761697769165039e-01,9.933755397796630859e-01,9.770292639732360840e-01,9.926925301551818848e-01
