real_g01,imag_g01,real_g02,imag_g02,real_g03,imag_g03
9.827036261558532715e-01,9.956558346748352051e-01,9.823253750801086426e-01,9.965420365333557129e-01,9.817980527877807617e-01,9.955887794494628906e-01
9.824055433273315430e-01,9.953027963638305664e-01,9.820175170898437500e-01,9.961907267570495605e-01,9.814822673797607422e-01,9.952362775802612305e-01
1.010262012481689453e+00,1.000871181488037109e+00,1.011360406875610352e+00,1.000664472579956055e+00,1.010496973991394043e+00,1.000141263008117676e+00
1.008447408676147461e+00,1.005204081535339355e+00,1.010732769966125488e+00,1.004197597503662109e+00,1.009565591812133789e+00,1.004079580307006836e+00
9.870653152465820312e-01,9.947243928909301758e-01,9.865905046463012695e-01,9.957771301269531250e-01,9.860063791275024414e-01,9.946296215057373047e-01
9.886451363563537598e-01,9.923816919326782227e-01,9.883721470832824707e-01,9.932679533958435059e-01,9.877991080284118652e-01,9.923593997955322266e-01
9.950338602066040039e-01,9.923455715179443359e-01,9.952648282051086426e-01,9.928429722785949707e-01,9.947050809860229492e-01,9.922282695770263672e-01
9.948524236679077148e-01,9.947281479835510254e-01,9.951213002204895020e-01,9.952728748321533203e-01,9.945452213287353516e-01,9.946008324623107910e-01
1.017253398895263672e+00,9.995512962341308594e-01,1.017031431198120117e+00,1.000138878822326660e+00,1.016467690467834473e+00,9.992747902870178223e-01
1.017835617065429688e+00,1.000167608261108398e+00,1.017680883407592773e+00,1.000800728797912598e+00,1.017066597938537598e+00,9.998213648796081543e-01
1.007502436637878418e+00,9.994622468948364258e-01,1.007145404815673828e+00,1.000197410583496094e+00,1.006482601165771484e+00,9.990726113319396973e-01
1.006511926651000977e+00,1.000476121902465820e+00,1.006578683853149414e+00,1.000946402549743652e+00,1.005878090858459473e+00,9.999549388885498047e-01
1.007535696029663086e+00,9.953432083129882812e-01,1.008538007736206055e+00,9.952288269996643066e-01,1.007776975631713867e+00,9.948843717575073242e-01
1.008739709854125977e+00,9.948366284370422363e-01,1.009490489959716797e+00,9.948959350585937500e-01,1.008786678314208984e+00,9.945552945137023926e-01
1.008474111557006836e+00,1.000883102416992188e+00,1.007919549942016602e+00,1.001973628997802734e+00,1.007345557212829590e+00,1.000803828239440918e+00
1.009819030761718750e+00,9.983234405517578125e-01,1.009447097778320312e+00,9.992873072624206543e-01,1.008891463279724121e+00,9.982867240905761719e-01
9.852168560028076172e-01,9.903250336647033691e-01,9.858785867691040039e-01,9.906349182128906250e-01,9.852096438407897949e-01,9.899672269821166992e-01
9.864013195037841797e-01,9.904192686080932617e-01,9.869553446769714355e-01,9.907705187797546387e-01,9.862968921661376953e-01,9.901152849197387695e-01
9.892971515655517578e-01,9.952571988105773926e-01,9.887511134147644043e-01,9.963513016700744629e-01,9.882594943046569824e-01,9.952719211578369141e-01
9.894853234291076660e-01,9.947965145111083984e-01,9.890171289443969727e-01,9.958477616310119629e-01,9.884988665580749512e-01,9.948006272315979004e-01
9.965077638626098633e-01,1.000655889511108398e+00,9.971775412559509277e-01,1.000857114791870117e+00,9.964282512664794922e-01,1.000240445137023926e+00
9.949073791503906250e-01,1.001391530036926270e+00,9.954152107238769531e-01,1.001735806465148926e+00,9.947030544281005859e-01,1.001030206680297852e+00
9.887877702713012695e-01,1.000778675079345703e+00,9.881324768066406250e-01,1.001891374588012695e+00,9.875184297561645508e-01,1.000616550445556641e+00
9.880059957504272461e-01,1.000884413719177246e+00,9.875193238258361816e-01,1.001854658126831055e+00,9.868333339691162109e-01,1.000585317611694336e+00
9.754554629325866699e-01,9.950386285781860352e-01,9.748774766921997070e-01,9.961509704589843750e-01,9.743234515190124512e-01,9.949349164962768555e-01
9.773775339126586914e-01,9.948008060455322266e-01,9.768253564834594727e-01,9.959051012992858887e-01,9.762642383575439453e-01,9.946584701538085938e-01
9.842119216918945312e-01,9.935430288314819336e-01,9.842005968093872070e-01,9.943307042121887207e-01,9.836223125457763672e-01,9.935262799263000488e-01
9.843940138816833496e-01,9.939025640487670898e-01,9.841849803924560547e-01,9.947997927665710449e-01,9.836294054985046387e-01,9.938802719116210938e-01
1.032842993736267090e+00,1.003597855567932129e+00,1.032813310623168945e+00,1.004156827926635742e+00,1.032086491584777832e+00,1.003137826919555664e+00
1.030281305313110352e+00,1.004390239715576172e+00,1.030312299728393555e+00,1.004871368408203125e+00,1.029525518417358398e+00,1.003893136978149414e+00
1.036233067512512207e+00,1.012724041938781738e+00,1.037102460861206055e+00,1.012436270713806152e+00,1.036161303520202637e+00,1.011770963668823242e+00
1.040766835212707520e+00,1.009148001670837402e+00,1.040861010551452637e+00,1.009421825408935547e+00,1.039966583251953125e+00,1.008424162864685059e+00
9.709082841873168945e-01,9.979354739189147949e-01,9.722508192062377930e-01,9.977622032165527344e-01,9.714533686637878418e-01,9.976823925971984863e-01
9.783921241760253906e-01,9.920020699501037598e-01,9.797343015670776367e-01,9.918519854545593262e-01,9.789519309997558594e-01,9.915962219238281250e-01
9.897341728210449219e-01,9.932725429534912109e-01,9.894080162048339844e-01,9.943233728408813477e-01,9.888120293617248535e-01,9.932250380516052246e-01
9.886724948883056641e-01,9.941176176071166992e-01,9.881098270416259766e-01,9.952449798583984375e-01,9.875621795654296875e-01,9.940861463546752930e-01
9.961772561073303223e-01,9.946990013122558594e-01,9.958626627922058105e-01,9.956673979759216309e-01,9.952588081359863281e-01,9.946177005767822266e-01
9.943875074386596680e-01,9.968631267547607422e-01,9.947297573089599609e-01,9.972748160362243652e-01,9.939753413200378418e-01,9.964582324028015137e-01
1.021486282348632812e+00,1.000520467758178711e+00,1.022041320800781250e+00,1.000831604003906250e+00,1.021294236183166504e+00,1.000085353851318359e+00
1.021488428115844727e+00,9.999679327011108398e-01,1.021499395370483398e+00,1.000539422035217285e+00,1.020784616470336914e+00,9.995276927947998047e-01
9.952587485313415527e-01,1.003911495208740234e+00,9.969211816787719727e-01,1.003375768661499023e+00,9.960222244262695312e-01,1.003260254859924316e+00
9.992471933364868164e-01,9.988971948623657227e-01,9.996551871299743652e-01,9.992219805717468262e-01,9.990438818931579590e-01,9.986111521720886230e-01
1.016619682312011719e+00,1.002246618270874023e+00,1.017696142196655273e+00,1.002005815505981445e+00,1.016868591308593750e+00,1.001386523246765137e+00
1.015778064727783203e+00,1.004059076309204102e+00,1.016732692718505859e+00,1.004016280174255371e+00,1.015924215316772461e+00,1.003398180007934570e+00
1.023251056671142578e+00,1.004785895347595215e+00,1.023605585098266602e+00,1.004985809326171875e+00,1.022773027420043945e+00,1.004045486450195312e+00
1.022817015647888184e+00,1.005190014839172363e+00,1.023125648498535156e+00,1.005486011505126953e+00,1.022323131561279297e+00,1.004609584808349609e+00
9.905675649642944336e-01,9.965757727622985840e-01,9.900756478309631348e-01,9.976060390472412109e-01,9.895105361938476562e-01,9.964910745620727539e-01
9.906833767890930176e-01,9.963473677635192871e-01,9.902032613754272461e-01,9.973803758621215820e-01,9.896118640899658203e-01,9.962046146392822266e-01
9.970063567161560059e-01,9.988361597061157227e-01,9.970818161964416504e-01,9.993323087692260742e-01,9.963936209678649902e-01,9.983960390090942383e-01
9.970986247062683105e-01,9.985917806625366211e-01,9.976487755775451660e-01,9.988373517990112305e-01,9.969258308410644531e-01,9.980733990669250488e-01
9.994391798973083496e-01,9.951276183128356934e-01,9.990360736846923828e-01,9.960642457008361816e-01,9.984645843505859375e-01,9.949796795845031738e-01
1.000920772552490234e+00,9.951571822166442871e-01,1.000491023063659668e+00,9.961177706718444824e-01,9.999366998672485352e-01,9.949737787246704102e-01
1.012171387672424316e+00,9.995390176773071289e-01,1.012460231781005859e+00,9.999357461929321289e-01,1.011805534362792969e+00,9.991021752357482910e-01
1.012609124183654785e+00,9.998062849044799805e-01,1.012596487998962402e+00,1.000418901443481445e+00,1.011954188346862793e+00,9.994238615036010742e-01
9.972803592681884766e-01,9.952208399772644043e-01,9.971045255661010742e-01,9.961538314819335938e-01,9.965439438819885254e-01,9.953323006629943848e-01
9.965500831604003906e-01,9.948490262031555176e-01,9.964387416839599609e-01,9.957352876663208008e-01,9.958669543266296387e-01,9.948548674583435059e-01
1.026458263397216797e+00,1.004678964614868164e+00,1.026035666465759277e+00,1.005559325218200684e+00,1.025280594825744629e+00,1.004257678985595703e+00
1.024250864982604980e+00,1.005098819732666016e+00,1.024055004119873047e+00,1.005685091018676758e+00,1.023232698440551758e+00,1.004496216773986816e+00
9.895004034042358398e-01,9.940636157989501953e-01,9.894879460334777832e-01,9.948655366897583008e-01,9.888126850128173828e-01,9.937840104103088379e-01
9.900093078613281250e-01,9.926835298538208008e-01,9.904013276100158691e-01,9.931414127349853516e-01,9.896787405014038086e-01,9.922154545783996582e-01
9.932210445404052734e-01,9.971273541450500488e-01,9.943742156028747559e-01,9.970284700393676758e-01,9.935681819915771484e-01,9.967685937881469727e-01
9.934560060501098633e-01,9.951715469360351562e-01,9.933176636695861816e-01,9.961063861846923828e-01,9.927561283111572266e-01,9.952245950698852539e-01
9.677938222885131836e-01,9.967103600502014160e-01,9.685643315315246582e-01,9.970363378524780273e-01,9.679442048072814941e-01,9.966021180152893066e-01
9.647206664085388184e-01,1.002146482467651367e+00,9.667690396308898926e-01,1.001523971557617188e+00,9.658558368682861328e-01,1.001795887947082520e+00
1.015749931335449219e+00,1.004986286163330078e+00,1.016009569168090820e+00,1.005287766456604004e+00,1.015240311622619629e+00,1.004517197608947754e+00
1.011769533157348633e+00,1.010073304176330566e+00,1.012739300727844238e+00,1.009840250015258789e+00,1.011855959892272949e+00,1.009397983551025391e+00
9.806036949157714844e-01,9.941389560699462891e-01,9.827309846878051758e-01,9.935213327407836914e-01,9.818189144134521484e-01,9.934109449386596680e-01
9.822822809219360352e-01,9.929040670394897461e-01,9.829559326171875000e-01,9.932106733322143555e-01,9.822876453399658203e-01,9.925658702850341797e-01
9.810482859611511230e-01,9.960767030715942383e-01,9.813165068626403809e-01,9.964779615402221680e-01,9.806101918220520020e-01,9.957067966461181641e-01
9.824761152267456055e-01,9.959111213684082031e-01,9.823243021965026855e-01,9.966334700584411621e-01,9.817450046539306641e-01,9.958478212356567383e-01
9.916068315505981445e-01,9.985752105712890625e-01,9.910385608673095703e-01,9.996550083160400391e-01,9.905178546905517578e-01,9.985154867172241211e-01
9.928963184356689453e-01,9.988539218902587891e-01,9.924607872962951660e-01,9.998251199722290039e-01,9.918152689933776855e-01,9.986672401428222656e-01
1.004487276077270508e+00,1.000575304031372070e+00,1.004909873008728027e+00,1.000990033149719238e+00,1.004213333129882812e+00,1.000229835510253906e+00
1.005136966705322266e+00,9.996043443679809570e-01,1.005593180656433105e+00,1.000031590461730957e+00,1.004855394363403320e+00,9.991306662559509277e-01
9.873362183570861816e-01,9.947761893272399902e-01,9.875065684318542480e-01,9.954506754875183105e-01,9.869127273559570312e-01,9.945819377899169922e-01
9.884420633316040039e-01,9.945279955863952637e-01,9.887823462486267090e-01,9.950523376464843750e-01,9.881275892257690430e-01,9.940311908721923828e-01
9.913824796676635742e-01,1.001976728439331055e+00,9.914820194244384766e-01,1.002621412277221680e+00,9.909017086029052734e-01,1.001697897911071777e+00
9.934412837028503418e-01,1.001069188117980957e+00,9.931910634040832520e-01,1.002039074897766113e+00,9.926795959472656250e-01,1.000996112823486328e+00
9.927009344100952148e-01,9.925720691680908203e-01,9.925090670585632324e-01,9.935430884361267090e-01,9.920418262481689453e-01,9.925779104232788086e-01
9.981935620307922363e-01,9.899678230285644531e-01,9.989895820617675781e-01,9.901728630065917969e-01,9.983119368553161621e-01,9.896091222763061523e-01
9.906042814254760742e-01,1.005502581596374512e+00,9.920790195465087891e-01,1.005120515823364258e+00,9.912874698638916016e-01,1.005235195159912109e+00
9.989559054374694824e-01,1.000014901161193848e+00,9.997658133506774902e-01,1.000175118446350098e+00,9.990248084068298340e-01,9.996195435523986816e-01
1.020469069480895996e+00,1.002930760383605957e+00,1.020557999610900879e+00,1.003431797027587891e+00,1.019861698150634766e+00,1.002475142478942871e+00
1.019793748855590820e+00,1.002804756164550781e+00,1.020205259323120117e+00,1.003030896186828613e+00,1.019491195678710938e+00,1.002319574356079102e+00
9.967706799507141113e-01,9.931882023811340332e-01,9.968646764755249023e-01,9.938617944717407227e-01,9.961956143379211426e-01,9.930397272109985352e-01
9.961413145065307617e-01,9.924618005752563477e-01,9.963692426681518555e-01,9.930247068405151367e-01,9.957038164138793945e-01,9.922199249267578125e-01
1.035979986190795898e+00,1.010352969169616699e+00,1.036092758178710938e+00,1.010676741600036621e+00,1.035330772399902344e+00,1.009738564491271973e+00
1.036962747573852539e+00,1.008087992668151855e+00,1.037078857421875000e+00,1.008453130722045898e+00,1.036348819732666016e+00,1.007460474967956543e+00
1.004823684692382812e+00,9.994657039642333984e-01,1.004144072532653809e+00,1.000570058822631836e+00,1.003481388092041016e+00,9.993448853492736816e-01
1.003939151763916016e+00,9.997829198837280273e-01,1.003551483154296875e+00,1.000685691833496094e+00,1.002915501594543457e+00,9.995701313018798828e-01
9.771384000778198242e-01,9.945786595344543457e-01,9.772427082061767578e-01,9.953011274337768555e-01,9.766099452972412109e-01,9.945163726806640625e-01
9.783595800399780273e-01,9.963163733482360840e-01,9.794670939445495605e-01,9.962764978408813477e-01,9.786928296089172363e-01,9.960912466049194336e-01
9.931264519691467285e-01,1.000892162322998047e+00,9.944971203804016113e-01,1.000530123710632324e+00,9.935269355773925781e-01,9.999252557754516602e-01
9.871597290039062500e-01,1.004088640213012695e+00,9.886800050735473633e-01,1.003655076026916504e+00,9.877339601516723633e-01,1.003437399864196777e+00
9.774425625801086426e-01,9.888595342636108398e-01,9.773706197738647461e-01,9.897136092185974121e-01,9.767760634422302246e-01,9.885588288307189941e-01
9.768724441528320312e-01,9.916570186614990234e-01,9.767813086509704590e-01,9.924691915512084961e-01,9.762243032455444336e-01,9.914444088935852051e-01
1.014644384384155273e+00,9.979254007339477539e-01,1.014952898025512695e+00,9.983232021331787109e-01,1.014213442802429199e+00,9.974581599235534668e-01
1.012560248374938965e+00,1.001326441764831543e+00,1.013828754425048828e+00,1.000953912734985352e+00,1.012801289558410645e+00,1.000402092933654785e+00
9.779479503631591797e-01,9.913666248321533203e-01,9.783170223236083984e-01,9.918342232704162598e-01,9.777768850326538086e-01,9.911784529685974121e-01
9.796441197395324707e-01,9.909603595733642578e-01,9.808098077774047852e-01,9.908944964408874512e-01,9.800872802734375000e-01,9.905512928962707520e-01
9.979089498519897461e-01,9.993461370468139648e-01,9.975965619087219238e-01,1.000054121017456055e+00,9.969201087951660156e-01,9.990620613098144531e-01
9.963595271110534668e-01,1.000046849250793457e+00,9.957128763198852539e-01,1.001096010208129883e+00,9.951165914535522461e-01,9.999707937240600586e-01
9.923722743988037109e-01,9.918427467346191406e-01,9.919929504394531250e-01,9.927867650985717773e-01,9.913851022720336914e-01,9.915692806243896484e-01
9.930578470230102539e-01,9.900778532028198242e-01,9.927686452865600586e-01,9.909837841987609863e-01,9.922504425048828125e-01,9.899655580520629883e-01
9.990852475166320801e-01,9.959968328475952148e-01,9.998846650123596191e-01,9.960296154022216797e-01,9.990962743759155273e-01,9.954565763473510742e-01
1.001784563064575195e+00,9.964938163757324219e-01,1.004007220268249512e+00,9.956361055374145508e-01,1.002894878387451172e+00,9.954500198364257812e-01
1.008703947067260742e+00,9.987491369247436523e-01,1.010255813598632812e+00,9.983151555061340332e-01,1.009443998336791992e+00,9.982454776763916016e-01
1.001513957977294922e+00,1.005363583564758301e+00,1.003097295761108398e+00,1.004796981811523438e+00,1.002285242080688477e+00,1.005077123641967773e+00
9.977141618728637695e-01,9.914156198501586914e-01,9.981545209884643555e-01,9.918403625488281250e-01,9.974778890609741211e-01,9.910933375358581543e-01
9.972481131553649902e-01,9.945528507232666016e-01,9.985733032226562500e-01,9.941952228546142578e-01,9.976531267166137695e-01,9.936889410018920898e-01
9.971709251403808594e-01,9.952501058578491211e-01,9.974795579910278320e-01,9.957492351531982422e-01,9.968107938766479492e-01,9.947690963745117188e-01
9.956895112991333008e-01,9.999068379402160645e-01,9.961570501327514648e-01,1.000342249870300293e+00,9.954945445060729980e-01,9.995873570442199707e-01
9.919249415397644043e-01,9.990818500518798828e-01,9.920016527175903320e-01,9.996378421783447266e-01,9.913300275802612305e-01,9.988304376602172852e-01
9.904156923294067383e-01,9.982475042343139648e-01,9.897925853729248047e-01,9.993321895599365234e-01,9.892466664314270020e-01,9.981820583343505859e-01
9.851909875869750977e-01,9.982481002807617188e-01,9.855622053146362305e-01,9.985746145248413086e-01,9.849650859832763672e-01,9.977710247039794922e-01
9.867756366729736328e-01,9.963356256484985352e-01,9.872570633888244629e-01,9.966187477111816406e-01,9.866355061531066895e-01,9.958474040031433105e-01
1.009610414505004883e+00,1.007611036300659180e+00,1.010727524757385254e+00,1.007367849349975586e+00,1.009763956069946289e+00,1.006798505783081055e+00
1.011366367340087891e+00,1.002400279045104980e+00,1.011427164077758789e+00,1.002897977828979492e+00,1.010737657546997070e+00,1.002064704895019531e+00
9.943634271621704102e-01,9.955691695213317871e-01,9.943857192993164062e-01,9.962388277053833008e-01,9.936543703079223633e-01,9.953356385231018066e-01
9.948744773864746094e-01,9.931529760360717773e-01,9.949846267700195312e-01,9.937911033630371094e-01,9.942502975463867188e-01,9.929648041725158691e-01
9.954695701599121094e-01,9.973469376564025879e-01,9.963905811309814453e-01,9.973063468933105469e-01,9.957709312438964844e-01,9.968701601028442383e-01
9.974467158317565918e-01,9.956623911857604980e-01,9.973951578140258789e-01,9.962877035140991211e-01,9.968973398208618164e-01,9.954048395156860352e-01
1.007303237915039062e+00,9.969311356544494629e-01,1.007568597793579102e+00,9.975633025169372559e-01,1.006917595863342285e+00,9.967389106750488281e-01
1.008020401000976562e+00,9.960870742797851562e-01,1.008045911788940430e+00,9.968828558921813965e-01,1.007433056831359863e+00,9.960436224937438965e-01
9.966698884963989258e-01,1.001635193824768066e+00,9.960039854049682617e-01,1.002668380737304688e+00,9.953500628471374512e-01,1.001411199569702148e+00
9.995357990264892578e-01,1.000355005264282227e+00,9.991438984870910645e-01,1.001262903213500977e+00,9.985100030899047852e-01,1.000070810317993164e+00
9.944987893104553223e-01,9.941619634628295898e-01,9.946050047874450684e-01,9.949455261230468750e-01,9.940346479415893555e-01,9.942312836647033691e-01
9.962582588195800781e-01,9.946950674057006836e-01,9.963215589523315430e-01,9.955146312713623047e-01,9.956932663917541504e-01,9.947201013565063477e-01
1.022897362709045410e+00,1.007115364074707031e+00,1.023610353469848633e+00,1.007155060768127441e+00,1.022774219512939453e+00,1.006383895874023438e+00
1.023127079010009766e+00,1.006385803222656250e+00,1.023795604705810547e+00,1.006541848182678223e+00,1.023002624511718750e+00,1.005850553512573242e+00
1.012426376342773438e+00,1.008529067039489746e+00,1.014254331588745117e+00,1.007825136184692383e+00,1.013158202171325684e+00,1.007520794868469238e+00
1.012277126312255859e+00,1.005419969558715820e+00,1.013868570327758789e+00,1.004856467247009277e+00,1.012933969497680664e+00,1.004690170288085938e+00
1.013167023658752441e+00,1.012814879417419434e+00,1.015321493148803711e+00,1.011852025985717773e+00,1.014265656471252441e+00,1.011889815330505371e+00
