real_g01,imag_g01,real_g02,imag_g02,real_g03,imag_g03
9.872620701789855957e-01,9.933029413223266602e-01,9.891242980957031250e-01,9.935377240180969238e-01,9.892809391021728516e-01,9.934383034706115723e-01
9.861879348754882812e-01,9.937862157821655273e-01,9.888218641281127930e-01,9.937654733657836914e-01,9.888402819633483887e-01,9.937137365341186523e-01
1.013770341873168945e+00,1.004636526107788086e+00,1.013781785964965820e+00,1.004827976226806641e+00,1.015689849853515625e+00,1.004696249961853027e+00
1.012088060379028320e+00,1.006226897239685059e+00,1.012284159660339355e+00,1.005731225013732910e+00,1.014560341835021973e+00,1.006160259246826172e+00
9.983389377593994141e-01,1.001855254173278809e+00,9.984829425811767578e-01,1.001727461814880371e+00,9.975976943969726562e-01,1.002540826797485352e+00
9.992700219154357910e-01,1.003907203674316406e+00,1.000640153884887695e+00,1.002567648887634277e+00,1.000732183456420898e+00,1.003333091735839844e+00
1.003159999847412109e+00,9.914228320121765137e-01,1.002263307571411133e+00,9.930127263069152832e-01,1.004350423812866211e+00,9.918636679649353027e-01
1.002968430519104004e+00,9.915528297424316406e-01,1.000286817550659180e+00,9.928575754165649414e-01,1.003507137298583984e+00,9.918494820594787598e-01
1.013496637344360352e+00,1.008721470832824707e+00,1.014923572540283203e+00,1.007565736770629883e+00,1.013803720474243164e+00,1.008383989334106445e+00
1.012302994728088379e+00,1.007544517517089844e+00,1.011856198310852051e+00,1.006160140037536621e+00,1.011602878570556641e+00,1.008008241653442383e+00
1.011148810386657715e+00,9.990420341491699219e-01,1.010038852691650391e+00,9.975995421409606934e-01,1.007932066917419434e+00,9.994169473648071289e-01
1.010554552078247070e+00,9.981890320777893066e-01,1.009730577468872070e+00,9.973690509796142578e-01,1.008046507835388184e+00,9.983751773834228516e-01
1.001529693603515625e+00,1.000418782234191895e+00,1.001772761344909668e+00,1.001090526580810547e+00,1.003484129905700684e+00,1.000793099403381348e+00
1.003016471862792969e+00,1.000405788421630859e+00,1.000544548034667969e+00,9.998235702514648438e-01,1.003863811492919922e+00,1.001355409622192383e+00
1.007071733474731445e+00,9.975968599319458008e-01,1.005535721778869629e+00,9.975931644439697266e-01,1.006238937377929688e+00,9.999004602432250977e-01
1.009171485900878906e+00,9.977863430976867676e-01,1.007691740989685059e+00,9.975489377975463867e-01,1.009096264839172363e+00,9.986296892166137695e-01
9.963939785957336426e-01,9.983335733413696289e-01,9.975801706314086914e-01,9.982263445854187012e-01,9.983866810798645020e-01,9.980672597885131836e-01
9.978547096252441406e-01,9.991648793220520020e-01,9.968114495277404785e-01,9.983651638031005859e-01,9.989393353462219238e-01,9.989060163497924805e-01
9.973125457763671875e-01,1.001527667045593262e+00,9.998634457588195801e-01,1.000802278518676758e+00,9.987038373947143555e-01,1.001662492752075195e+00
9.979088902473449707e-01,1.001589298248291016e+00,9.982883930206298828e-01,1.001358985900878906e+00,9.989346265792846680e-01,1.002072334289550781e+00
9.912710189819335938e-01,9.938303232192993164e-01,9.909815788269042969e-01,9.933623075485229492e-01,9.917948246002197266e-01,9.944854974746704102e-01
9.897547364234924316e-01,9.930774569511413574e-01,9.891279339790344238e-01,9.930183887481689453e-01,9.903307557106018066e-01,9.937218427658081055e-01
9.975060224533081055e-01,9.944923520088195801e-01,9.948931932449340820e-01,9.933565855026245117e-01,9.956499338150024414e-01,9.955882430076599121e-01
9.933516979217529297e-01,9.965124130249023438e-01,9.918438196182250977e-01,9.953668713569641113e-01,9.911826848983764648e-01,9.979283809661865234e-01
9.817628860473632812e-01,9.977212548255920410e-01,9.819720983505249023e-01,9.971545338630676270e-01,9.809350371360778809e-01,9.986785650253295898e-01
9.845807552337646484e-01,9.992316365242004395e-01,9.847724437713623047e-01,9.979202747344970703e-01,9.851757287979125977e-01,9.990389347076416016e-01
9.897230863571166992e-01,9.920802116394042969e-01,9.898779392242431641e-01,9.907002449035644531e-01,9.888623952865600586e-01,9.922040700912475586e-01
9.900358915328979492e-01,9.940536022186279297e-01,9.908170700073242188e-01,9.924131035804748535e-01,9.895948171615600586e-01,9.942368268966674805e-01
1.020216226577758789e+00,1.007392168045043945e+00,1.017078757286071777e+00,1.007094502449035645e+00,1.020133495330810547e+00,1.008624076843261719e+00
1.017641901969909668e+00,1.006237268447875977e+00,1.016293287277221680e+00,1.006105065345764160e+00,1.018027544021606445e+00,1.007522940635681152e+00
1.026121973991394043e+00,1.005190849304199219e+00,1.028233885765075684e+00,1.004837751388549805e+00,1.027706146240234375e+00,1.004581928253173828e+00
1.027606129646301270e+00,1.006875753402709961e+00,1.028776407241821289e+00,1.006792783737182617e+00,1.029000639915466309e+00,1.007208824157714844e+00
9.796164035797119141e-01,1.005542397499084473e+00,9.817130565643310547e-01,1.005619764328002930e+00,9.834532737731933594e-01,1.004011631011962891e+00
9.796016812324523926e-01,1.004605531692504883e+00,9.825291633605957031e-01,1.005111575126647949e+00,9.831928014755249023e-01,1.003004789352416992e+00
1.000627398490905762e+00,1.009878277778625488e+00,1.000262141227722168e+00,1.009917020797729492e+00,1.001989364624023438e+00,1.010040521621704102e+00
1.000640034675598145e+00,1.008182406425476074e+00,1.001216769218444824e+00,1.007341146469116211e+00,1.002001404762268066e+00,1.008956551551818848e+00
9.981020689010620117e-01,1.004498481750488281e+00,9.982496500015258789e-01,1.004152655601501465e+00,9.995666742324829102e-01,1.005002260208129883e+00
9.988535642623901367e-01,1.008300065994262695e+00,9.995892047882080078e-01,1.007078886032104492e+00,1.001441478729248047e+00,1.008878707885742188e+00
1.016152739524841309e+00,1.008893251419067383e+00,1.015508651733398438e+00,1.008729934692382812e+00,1.017217278480529785e+00,1.009302377700805664e+00
1.016420364379882812e+00,1.006801366806030273e+00,1.016395807266235352e+00,1.006233453750610352e+00,1.016979336738586426e+00,1.007731795310974121e+00
9.921672344207763672e-01,1.003200292587280273e+00,9.947579503059387207e-01,1.003058195114135742e+00,9.946293830871582031e-01,1.002304673194885254e+00
9.942023158073425293e-01,1.002125620841979980e+00,9.956324100494384766e-01,1.002724647521972656e+00,9.963721036911010742e-01,1.002029418945312500e+00
1.006365299224853516e+00,9.988645911216735840e-01,1.006988525390625000e+00,9.992252588272094727e-01,1.008395791053771973e+00,9.994367361068725586e-01
1.007050037384033203e+00,9.956408739089965820e-01,1.005345582962036133e+00,9.959127902984619141e-01,1.007694244384765625e+00,9.966605901718139648e-01
1.018071889877319336e+00,9.957321286201477051e-01,1.017099618911743164e+00,9.943678379058837891e-01,1.016802430152893066e+00,9.965555071830749512e-01
1.018931388854980469e+00,9.947056174278259277e-01,1.016059398651123047e+00,9.932618737220764160e-01,1.016358852386474609e+00,9.955477118492126465e-01
9.984259009361267090e-01,1.011746406555175781e+00,9.986685514450073242e-01,1.011354327201843262e+00,9.986732006072998047e-01,1.011603832244873047e+00
9.984257817268371582e-01,1.012282490730285645e+00,9.992706775665283203e-01,1.011984109878540039e+00,9.984079003334045410e-01,1.012791037559509277e+00
9.960694313049316406e-01,9.842837452888488770e-01,9.941215515136718750e-01,9.829860329627990723e-01,9.934456944465637207e-01,9.858368635177612305e-01
9.976328015327453613e-01,9.832044839859008789e-01,9.952184557914733887e-01,9.812912940979003906e-01,9.949903488159179688e-01,9.836390018463134766e-01
1.004256129264831543e+00,9.985131621360778809e-01,1.005493044853210449e+00,9.981321692466735840e-01,1.005323290824890137e+00,9.987131357192993164e-01
1.004817247390747070e+00,1.000328779220581055e+00,1.004853606224060059e+00,9.996482133865356445e-01,1.006130218505859375e+00,1.000450730323791504e+00
1.011279344558715820e+00,1.006074666976928711e+00,1.010424852371215820e+00,1.004886746406555176e+00,1.010891556739807129e+00,1.006397962570190430e+00
1.010596156120300293e+00,1.003196001052856445e+00,1.008993864059448242e+00,1.001406311988830566e+00,1.008950233459472656e+00,1.003740072250366211e+00
9.973179101943969727e-01,1.000960350036621094e+00,9.944975972175598145e-01,1.001828670501708984e+00,9.961383342742919922e-01,1.002294898033142090e+00
9.956426620483398438e-01,1.001473665237426758e+00,9.950432181358337402e-01,1.002536535263061523e+00,9.959871768951416016e-01,1.002199172973632812e+00
1.018991827964782715e+00,9.992958307266235352e-01,1.016881823539733887e+00,9.991290569305419922e-01,1.018944025039672852e+00,1.001035094261169434e+00
1.015818595886230469e+00,1.000861406326293945e+00,1.015318393707275391e+00,9.999800324440002441e-01,1.015412330627441406e+00,1.002442359924316406e+00
1.002353906631469727e+00,9.891360402107238770e-01,1.000982999801635742e+00,9.897136688232421875e-01,1.002583026885986328e+00,9.890879392623901367e-01
1.002398848533630371e+00,9.933621287345886230e-01,1.002662420272827148e+00,9.936982393264770508e-01,1.003954887390136719e+00,9.930488467216491699e-01
9.937747120857238770e-01,1.018410325050354004e+00,9.959330558776855469e-01,1.018274545669555664e+00,9.972385764122009277e-01,1.016562700271606445e+00
9.973105192184448242e-01,1.015135049819946289e+00,1.000005722045898438e+00,1.016207933425903320e+00,1.000552654266357422e+00,1.015406608581542969e+00
9.840845465660095215e-01,9.992704391479492188e-01,9.869346618652343750e-01,9.993438720703125000e-01,9.874618053436279297e-01,9.983810186386108398e-01
9.833913445472717285e-01,1.004714965820312500e+00,9.866502285003662109e-01,1.005157351493835449e+00,9.882118701934814453e-01,1.003407955169677734e+00
1.009749174118041992e+00,1.007330894470214844e+00,1.009030342102050781e+00,1.007827043533325195e+00,1.012289643287658691e+00,1.007512569427490234e+00
1.009297370910644531e+00,1.005986928939819336e+00,1.008884787559509277e+00,1.005220413208007812e+00,1.010883331298828125e+00,1.006429910659790039e+00
9.931755065917968750e-01,1.001577138900756836e+00,9.959381818771362305e-01,1.000584006309509277e+00,9.968239068984985352e-01,1.000245451927185059e+00
9.955770969390869141e-01,1.001891255378723145e+00,9.964821338653564453e-01,1.002381324768066406e+00,9.972516298294067383e-01,1.001010179519653320e+00
9.884060621261596680e-01,1.005752682685852051e+00,9.909759759902954102e-01,1.003865242004394531e+00,9.901418685913085938e-01,1.004957556724548340e+00
9.911417365074157715e-01,1.004299044609069824e+00,9.927395582199096680e-01,1.003044605255126953e+00,9.929204583168029785e-01,1.003597974777221680e+00
1.000780820846557617e+00,1.012588143348693848e+00,1.002476334571838379e+00,1.011978745460510254e+00,1.001835584640502930e+00,1.012802600860595703e+00
1.000879049301147461e+00,1.012596130371093750e+00,1.001396894454956055e+00,1.012115478515625000e+00,1.000470280647277832e+00,1.013344526290893555e+00
1.001033544540405273e+00,1.000902533531188965e+00,1.000940799713134766e+00,1.000746965408325195e+00,1.002387523651123047e+00,1.000837087631225586e+00
1.000723361968994141e+00,1.004610300064086914e+00,1.002205491065979004e+00,1.003751158714294434e+00,1.002749204635620117e+00,1.003851175308227539e+00
