real_g01,imag_g01,real_g02,imag_g02,real_g03,imag_g03
9.887416362762451172e-01,9.998092651367187500e-01,9.894635677337646484e-01,9.977774024009704590e-01,9.882246255874633789e-01,9.990870952606201172e-01
9.908727407455444336e-01,9.979977607727050781e-01,9.892682433128356934e-01,9.962952733039855957e-01,9.876054525375366211e-01,9.991204142570495605e-01
1.019741058349609375e+00,1.001077771186828613e+00,1.020137190818786621e+00,1.001093506813049316e+00,1.021050691604614258e+00,1.002115607261657715e+00
1.018304467201232910e+00,1.001158237457275391e+00,1.020622253417968750e+00,1.001214146614074707e+00,1.021422505378723145e+00,1.002077221870422363e+00
1.020662903785705566e+00,9.934409856796264648e-01,1.018399715423583984e+00,9.933724403381347656e-01,1.020654201507568359e+00,9.944217205047607422e-01
1.020070075988769531e+00,9.970179796218872070e-01,1.019462823867797852e+00,9.966943264007568359e-01,1.021163702011108398e+00,9.978306889533996582e-01
9.986903667449951172e-01,9.954071044921875000e-01,9.992066621780395508e-01,9.945305585861206055e-01,1.000932693481445312e+00,9.954725503921508789e-01
1.000403642654418945e+00,9.967292547225952148e-01,1.000845193862915039e+00,9.962885379791259766e-01,1.003000259399414062e+00,9.960129857063293457e-01
1.005782842636108398e+00,1.001507997512817383e+00,1.007727146148681641e+00,1.001282215118408203e+00,1.010561227798461914e+00,1.000351905822753906e+00
1.006131410598754883e+00,9.983178377151489258e-01,1.008510708808898926e+00,9.991080164909362793e-01,1.009157180786132812e+00,9.978564977645874023e-01
9.899069070816040039e-01,1.002645373344421387e+00,9.906767606735229492e-01,1.003175377845764160e+00,9.924210309982299805e-01,1.001327991485595703e+00
9.890732765197753906e-01,9.997177124023437500e-01,9.906533956527709961e-01,9.994097948074340820e-01,9.906013607978820801e-01,9.994848966598510742e-01
1.013044595718383789e+00,1.012741684913635254e+00,1.014141559600830078e+00,1.012244939804077148e+00,1.016269326210021973e+00,1.012392163276672363e+00
1.014850974082946777e+00,1.009693145751953125e+00,1.016354084014892578e+00,1.010903358459472656e+00,1.017570734024047852e+00,1.009657502174377441e+00
