real_g01,imag_g01,real_g02,imag_g02,real_g03,imag_g03
9.773406982421875000e-01,9.984186887741088867e-01,9.783394336700439453e-01,9.985111951828002930e-01,9.787328243255615234e-01,9.994557499885559082e-01
9.783580303192138672e-01,9.983466863632202148e-01,9.793462753295898438e-01,9.984381198883056641e-01,9.797222614288330078e-01,9.994605779647827148e-01
1.008710026741027832e+00,1.003906488418579102e+00,1.009584188461303711e+00,1.003477096557617188e+00,1.010070919990539551e+00,1.004097104072570801e+00
1.008326053619384766e+00,1.004731893539428711e+00,1.007285594940185547e+00,1.005267977714538574e+00,1.007466197013854980e+00,1.004666209220886230e+00
9.866520762443542480e-01,1.000576734542846680e+00,9.876775741577148438e-01,9.997106194496154785e-01,9.887616634368896484e-01,1.001013040542602539e+00
9.872097969055175781e-01,1.000711917877197266e+00,9.878400564193725586e-01,1.000539541244506836e+00,9.885096549987792969e-01,1.001143693923950195e+00
9.899016022682189941e-01,9.966718554496765137e-01,9.907701611518859863e-01,9.961757659912109375e-01,9.912593364715576172e-01,9.969881176948547363e-01
9.895277023315429688e-01,9.956976175308227539e-01,9.904170632362365723e-01,9.952999353408813477e-01,9.909838438034057617e-01,9.961551427841186523e-01
1.017400979995727539e+00,1.001021981239318848e+00,1.018177986145019531e+00,1.001008868217468262e+00,1.018785238265991211e+00,1.001476168632507324e+00
1.017431020736694336e+00,1.000626564025878906e+00,1.018111705780029297e+00,1.000560760498046875e+00,1.018640756607055664e+00,1.000783443450927734e+00
1.011806488037109375e+00,9.988616704940795898e-01,1.012887716293334961e+00,9.986355900764465332e-01,1.013493061065673828e+00,9.992517828941345215e-01
1.011592745780944824e+00,9.987291693687438965e-01,1.012986898422241211e+00,9.980141520500183105e-01,1.012988805770874023e+00,9.991136789321899414e-01
1.010704398155212402e+00,9.991506338119506836e-01,1.010453343391418457e+00,9.988248348236083984e-01,1.010555148124694824e+00,9.992715120315551758e-01
1.010471343994140625e+00,9.984245896339416504e-01,1.010902404785156250e+00,9.984239339828491211e-01,1.011129856109619141e+00,9.987664222717285156e-01
1.005903244018554688e+00,1.006489157676696777e+00,1.007647275924682617e+00,1.004865407943725586e+00,1.011061787605285645e+00,1.004847288131713867e+00
1.006021499633789062e+00,1.002775669097900391e+00,1.006633162498474121e+00,1.002465248107910156e+00,1.007662296295166016e+00,1.003392815589904785e+00
9.889421463012695312e-01,9.932296872138977051e-01,9.898169636726379395e-01,9.925041198730468750e-01,9.904197454452514648e-01,9.937479496002197266e-01
9.886879920959472656e-01,9.932471513748168945e-01,9.895416498184204102e-01,9.925284385681152344e-01,9.900621771812438965e-01,9.936980009078979492e-01
9.862033128738403320e-01,1.000964045524597168e+00,9.867610335350036621e-01,1.000570058822631836e+00,9.873801469802856445e-01,1.001309871673583984e+00
9.860196113586425781e-01,1.000008344650268555e+00,9.869161248207092285e-01,9.996201992034912109e-01,9.873296618461608887e-01,1.000692605972290039e+00
9.951054453849792480e-01,9.983029961585998535e-01,9.961292743682861328e-01,9.978163242340087891e-01,9.965288639068603516e-01,9.984359741210937500e-01
9.952332973480224609e-01,9.973731637001037598e-01,9.961959123611450195e-01,9.974667429924011230e-01,9.969038963317871094e-01,9.977277517318725586e-01
9.915611147880554199e-01,1.000945091247558594e+00,9.937487840652465820e-01,9.989377260208129883e-01,9.968023300170898438e-01,9.994360804557800293e-01
9.917258024215698242e-01,1.003217458724975586e+00,9.938436746597290039e-01,1.001332521438598633e+00,9.965741038322448730e-01,1.002100229263305664e+00
9.797223806381225586e-01,9.965732097625732422e-01,9.810094237327575684e-01,9.965281486511230469e-01,9.812967777252197266e-01,9.971275329589843750e-01
9.789400100708007812e-01,9.966520071029663086e-01,9.795476198196411133e-01,9.961179494857788086e-01,9.799843430519104004e-01,9.974628686904907227e-01
9.840774536132812500e-01,9.948486089706420898e-01,9.848785400390625000e-01,9.940282106399536133e-01,9.852772951126098633e-01,9.953806400299072266e-01
9.823786020278930664e-01,9.957426786422729492e-01,9.833545088768005371e-01,9.958667755126953125e-01,9.842059612274169922e-01,9.964085221290588379e-01
1.027430295944213867e+00,1.005640745162963867e+00,1.028218984603881836e+00,1.005365252494812012e+00,1.028859257698059082e+00,1.005968093872070312e+00
1.029140710830688477e+00,1.005070328712463379e+00,1.029749631881713867e+00,1.004779100418090820e+00,1.030375123023986816e+00,1.005395054817199707e+00
1.041556596755981445e+00,1.009259819984436035e+00,1.042217493057250977e+00,1.008551836013793945e+00,1.042755722999572754e+00,1.009011864662170410e+00
1.039090275764465332e+00,1.010098457336425781e+00,1.040375947952270508e+00,1.009038448333740234e+00,1.040607452392578125e+00,1.009777069091796875e+00
9.768494367599487305e-01,9.962657094001770020e-01,9.772163033485412598e-01,9.959709644317626953e-01,9.777377247810363770e-01,9.969582557678222656e-01
9.781026840209960938e-01,9.958595037460327148e-01,9.775959253311157227e-01,9.957069158554077148e-01,9.778025150299072266e-01,9.963053464889526367e-01
9.876302480697631836e-01,9.982415437698364258e-01,9.885603189468383789e-01,9.981369972229003906e-01,9.893428683280944824e-01,9.991317391395568848e-01
9.861421585083007812e-01,1.001115322113037109e+00,9.875788688659667969e-01,1.000451087951660156e+00,9.887122511863708496e-01,1.001101493835449219e+00
9.955944418907165527e-01,9.956216812133789062e-01,9.965286254882812500e-01,9.955287575721740723e-01,9.973527193069458008e-01,9.965356588363647461e-01
9.936091899871826172e-01,9.978505969047546387e-01,9.948588609695434570e-01,9.976549744606018066e-01,9.957884550094604492e-01,9.978998303413391113e-01
1.015855669975280762e+00,1.004331469535827637e+00,1.017109155654907227e+00,1.003933787345886230e+00,1.017488002777099609e+00,1.004842519760131836e+00
1.016180634498596191e+00,1.003611803054809570e+00,1.016967177391052246e+00,1.003550529479980469e+00,1.017740249633789062e+00,1.003809690475463867e+00
