x, y, z
16.13,20.55,0.11
16.74,24.64,-0.20
45.31,23.71,-0.11
34.24,26.37,-0.16
9.87,19.32,0.09
13.27,26.63,0.02
10.68,22.00,-0.00
27.25,26.34,-0.19
8.05,23.07,0.02
17.92,26.67,-0.08
18.80,21.70,0.14
8.93,21.22,0.04
43.06,27.07,-0.20
15.53,26.26,-0.21
9.14,23.72,-0.01
10.70,24.03,0.08
45.29,21.71,-0.02
45.15,16.46,0.15
19.30,26.87,-0.13
45.26,19.62,0.05
17.52,24.46,-0.09
45.69,23.28,-0.13
19.94,26.86,-0.14
9.85,21.67,0.12
9.84,21.63,0.12
17.60,24.32,-0.20
16.08,20.81,0.00
44.36,18.62,0.14
18.49,22.71,0.05
17.52,20.98,0.09
10.34,23.18,-0.01
17.25,26.43,-0.12
26.27,26.41,-0.13
9.29,20.18,0.16
16.59,25.46,-0.15
10.02,24.49,0.04
16.36,22.80,-0.07
8.53,24.13,0.09
27.44,26.32,-0.18
31.18,26.79,-0.20
18.61,20.63,0.03
10.38,22.74,0.09
16.73,25.34,-0.21
11.47,22.78,-0.08
16.09,22.00,-0.01
15.63,20.85,0.03
30.71,26.35,-0.15
10.35,26.39,0.03
10.65,24.00,0.02
21.26,26.62,-0.15
9.80,22.33,0.01
9.42,21.02,0.10
10.48,23.05,-0.05
16.52,19.79,0.25
10.70,23.80,-0.03
18.79,22.53,-0.02
8.48,20.61,0.20
45.60,25.05,-0.19
11.77,22.87,-0.05
8.46,26.94,0.03
12.06,26.12,-0.09
18.59,21.61,0.12
16.76,26.40,-0.09
9.93,26.93,-0.03
16.16,21.04,0.11
10.17,21.67,0.12
10.29,22.21,0.08
16.74,24.94,-0.15
45.15,16.41,0.16
39.72,26.35,-0.20
15.86,26.64,-0.11
21.15,26.63,-0.11
10.75,23.76,-0.10
17.29,20.96,0.17
43.44,26.39,-0.20
45.64,24.09,-0.13
9.42,20.49,0.06
9.76,22.69,-0.00
40.60,26.37,-0.18
16.25,21.64,0.04
8.41,20.55,0.23
