feat_rssi_0,feat_rssi_1,feat_rssi_2,feat_rssi_3,feat_rssi_4,feat_rssi_5,feat_rssi_6,feat_rssi_7,feat_rssi_8,feat_rssi_9,feat_rssi_10,feat_rssi_11,feat_rssi_12,feat_rssi_13,feat_rssi_14,feat_rssi_15,feat_rssi_16,feat_rssi_17,feat_rssi_18,feat_rssi_19,feat_rssi_20,feat_rssi_21,feat_rssi_22,feat_rssi_23,feat_rssi_24,feat_rssi_25,feat_rssi_26,feat_rssi_27,feat_rssi_28,feat_rssi_29,feat_rssi_30,feat_rssi_31,feat_rssi_32,feat_rssi_33,feat_rssi_34,feat_rssi_35,feat_rssi_36,feat_rssi_37,feat_rssi_38,feat_rssi_39,feat_rssi_40,feat_rssi_41,feat_rssi_42,feat_rssi_43,feat_rssi_44,feat_rssi_45,feat_rssi_46,feat_rssi_47
-45.937956177725276,-25.775736417177374,-26.184314536780242,-45.795677692088816,-25.192244457365327,-25.13179669316441,-25.241317967809685,-45.82014156461153,-45.6370404940114,-45.567582622024155,-25.759032918552446,-26.33955028168128,-45.64745464082374,-25.67922534202381,-45.354500416196764,-25.68338563278359,-32.971296021784376,-33.80053765972667,-52.13938955724795,-34.976766577961904,-52.34717058290726,-51.97376204042208,-52.305203458788185,-33.60487297998109,-59.25133290129841,-58.975139981152964,-39.41310388276674,-58.816467101718274,-59.57673561828593,-58.615834071298984,-59.204337789430696,-39.672911217663525,-47.87340108233339,-47.698557523153376,-47.717967814875884,-27.95824056977486,-28.65632208726494,-47.858190719617504,-47.822966240463465,-47.93640679011097,-52.18651983755752,-52.006467398769914,-32.22559963137329,-52.27217894478538,-52.0634083878378,-32.87246298894419,-31.95625583555475,-51.94619462980942
-45.000084294098095,-44.91152501705731,-45.17543337895525,-45.25575110485974,-25.867613687984992,-45.39416433399195,-45.434370500450754,-45.724812274271194,-40.58076576253565,-21.19930215096511,-40.53938501287072,-19.734666391111595,-40.34790173399104,-40.34786587110935,-40.32484131539141,-40.36979876661572,-52.044186456548715,-51.97021988909529,-32.54536124251583,-52.13624736064251,-31.76040034868806,-52.03141618277673,-32.474088770868704,-31.352874338341685,-36.37708969435687,-56.837199498859256,-37.77729552001467,-37.09470824566031,-56.599105729878865,-56.87082980531579,-56.84577753612559,-57.0497963001057,-50.78088136561678,-30.298370797533494,-31.24510554825286,-50.811617516173335,-31.232745352813144,-50.72544609530613,-31.180770905955058,-50.99279730689244,-50.79365441569458,-31.63496306072437,-50.73943321962028,-50.59970177080672,-50.61620608809123,-50.714446645455155,-50.82951886595786,-51.19043810245316
-31.4490104552279,-31.51094884724047,-31.526728500363618,-31.482793398454092,-31.388030007007846,-31.520457250941085,-31.72749362495511,-31.37774178678526,-33.04110035656515,-13.050577829099701,-33.13682919537546,-33.14680759656756,-32.95563866537782,-33.141576657556,-33.23699852709697,-13.750774316165506,-50.037068744559505,-50.23450565506793,-49.94076361736637,-30.75196326644036,-50.042882720421844,-50.14308579779676,-50.28349820573078,-50.25858324465591,-62.11925220353042,-61.89583992426449,-41.18586703947352,-61.4197417245106,-61.781894993932944,-41.66208261347781,-62.08451548789459,-62.134025834533574,-30.8217585975154,-29.82540439264549,-31.02862253757258,-50.98288961455377,-50.97020041578051,-31.56417421542677,-31.186614215126514,-31.158421349971416,-61.18189217935693,-61.150694150177365,-60.91342453239992,-60.85597753679481,-60.898751151116315,-60.49799432928668,-41.7681846806419,-60.83095835331992
-31.996172314326987,-32.007009910665666,-12.786528281267476,-31.98325470745806,-32.17273848695179,-32.06470293831473,-31.957397639572154,-31.973831905716708,-30.054380208749734,-9.661372027967934,-10.648444074773373,-11.049571423442945,-29.896438767350993,-8.928910028306799,-29.700637975311782,-9.040827582637407,-53.28192625088704,-53.883609305473044,-33.921365487751444,-53.751220491556936,-53.74345712169428,-54.266956064387955,-33.00974415027354,-54.06581459335492,-56.9188599677675,-57.41309299861173,-57.41547407549007,-37.37074853100165,-57.55217197083067,-57.413896368996156,-57.03272993135237,-58.29301540686408,-52.22542473552889,-52.46991061875386,-52.334592498706336,-52.526801645699415,-52.31207067626382,-52.27300381649873,-52.53513305291685,-52.38237870840234,-36.40392584001431,-56.68848361131544,-57.541547882924306,-56.8886496151621,-36.69132735888318,-37.676628249462325,-57.45253345656917,-57.27177838165217
-21.884423951431824,-42.02186166126683,-22.632661669950807,-22.126020934466816,-42.28426145927061,-22.200507471257602,-42.31519888335651,-42.05893005338342,-33.56034636695505,-32.387903180720926,-52.65850128149598,-32.16454522951298,-33.5697189695381,-32.80444889078873,-53.37745398412571,-52.48357556374412,-57.44752450501221,-57.54326120160623,-57.418629843677714,-57.6415341165617,-57.42137241837651,-57.75124387472314,-57.87455782166171,-37.93957975483226,-36.8882495813365,-57.09255784981092,-57.32270620340037,-57.332315257624714,-38.14418227328164,-56.76328409494023,-57.21804594751496,-57.10823702860257,-51.7540747580624,-51.71827761657045,-52.65834887870941,-53.32274433927467,-54.089519520877815,-54.766304400815386,-55.32152194075379,-55.12755316117489,-55.25327472069553,-41.24815779843662,-36.628749682912,-54.60356167896418,-34.7588331846713,-35.92005907958339,-34.75389141078273,-54.43079470757455
-50.409532941825404,-30.731269540947878,-31.072826056535735,-31.70366067703135,-50.637657242400145,-29.887917372268582,-30.494627029369703,-31.260554424393096,-20.547693741876913,-39.43154494769881,-39.345380378643625,-39.4640162767871,-19.711211745161894,-20.405796392253755,-39.7786889968012,-19.65100334065784,-63.23579347391384,-45.63351732173199,-44.93581085047771,-64.7358127876312,-63.98735798454888,-65.14998535551202,-65.05659044012661,-45.36558579224924,-30.813336640465245,-51.655664475400286,-51.554292774969106,-51.379488436096736,-51.42654423722416,-51.43672318873777,-31.861820751328935,-51.51768319672751,-43.58591118660879,-43.38208535660471,-25.072779494412494,-24.6444521912126,-24.738750938129108,-43.85054062845676,-43.907990932924776,-44.017152611936055,-52.025450870543,-51.90622199861397,-52.14982307423081,-52.039107617274354,-52.10610521526463,-52.264919449909314,-52.04055956275657,-31.55815013164359
-39.14992211833572,-38.994069853700886,-39.19404665585322,-19.70872342347457,-24.165317600679572,-18.5236195997195,-19.68499698282184,-18.904196186746418,-39.404653948642434,-20.09578888626143,-39.50922283213831,-39.49028851338811,-39.17589835254502,-39.559151496183546,-18.380687015398685,-39.51120154345919,-38.562471273533504,-36.73135753941143,-37.88026393941301,-58.08395080073591,-58.02983507456841,-57.799870036943844,-57.69979668990569,-57.99966228331052,-56.158116255279936,-56.8095021343543,-37.13278059745039,-56.001595650194425,-56.17346961541646,-56.25441057943804,-55.77332014283346,-56.39530316080113,-44.78898029952526,-44.5058537568124,-44.656819586770354,-44.68303946568777,-44.62267375465744,-45.05531514055765,-45.25576038828136,-25.236732354506472,-45.198430945394456,-25.302059527381502,-44.963246739832485,-45.2737151176471,-45.009524179986215,-45.22146826668095,-45.414654189194096,-45.34238598831316
-44.59953136894854,-44.680598818630635,-25.546269916607535,-45.366145839285004,-25.529803312291,-46.23347459055079,-46.24713400589294,-46.40235363138644,-39.11575848040933,-39.2934888763395,-39.878263110789376,-39.080617052808634,-40.10252757300694,-40.67689395825484,-40.31580231694194,-18.613849691821283,-100.0,-100.0,-60.97496890642847,-61.95813774694206,-61.67735056874453,-62.10388265529029,-62.649305942738906,-45.05503565239212,-100.0,-100.0,-56.37404011040268,-56.2425134027836,-56.76310212207852,-56.97804814194237,-56.72218417641493,-57.06566458412002,-48.90893853806983,-48.81282482321703,-48.8799251760389,-49.06547943686684,-29.700064489867025,-29.726113342342867,-49.174552015987956,-28.26360329373202,-48.5319823950655,-48.79844692987077,-48.93316005193863,-28.90182196826643,-29.56937270402763,-48.70152064856669,-28.06813910524324,-49.064693941783716
-38.10525860555602,-38.69244928537508,-38.853007113792785,-19.857789531724542,-19.704646682906144,-38.766291382177315,-39.313812022241514,-20.78446745840552,-38.85576803314303,-40.61842102227993,-20.385189918492284,-18.48539790361778,-39.084033830115146,-39.60761858978726,-40.64728982229299,-39.534630439506365,-30.951888273132067,-50.70450621397055,-50.84556384324536,-50.70729556561777,-50.78779875444119,-50.79805747367777,-50.94518276499562,-50.7308965991904,-56.27989095630144,-56.04363196040842,-56.23592212858188,-36.90935799043239,-36.94595269532724,-56.957082653089074,-56.898016429312854,-56.77842608144808,-27.675490353213842,-47.77406165927247,-47.7278543132192,-28.635542614426825,-47.78445241896896,-47.7688560471438,-47.892164493654974,-28.169825203959835,-53.45836956553611,-33.51074480677858,-53.33513760010656,-53.3914138272371,-53.122272756392846,-53.0337847934587,-53.286628612041824,-33.522909528666396
-35.83086936266006,-16.14175726795618,-36.08249566599791,-15.640332638370545,-35.89806659403948,-15.091751610933432,-36.14328012566733,-16.464787173105346,-29.831985005043435,-29.881455628149244,-29.91527961595545,-10.14424667855521,-29.904751184278958,-29.898684132364494,-9.03657161445634,-10.779409817756008,-53.1575591378985,-53.746485469488825,-54.29550197046193,-54.0808080414606,-54.658086791612,-54.50622710496855,-54.56435430777519,-54.8083126227864,-52.64188629769691,-31.942098357205936,-33.28181266827609,-52.642084025397786,-52.853954900436406,-33.49258714901391,-53.22462499915544,-53.35652920005135,-29.702831018392448,-50.116715250193835,-50.2841290420017,-51.1698499497031,-51.01988921500271,-31.081817512794053,-31.321478658820357,-32.128125595125404,-47.33883114889986,-47.33397351631223,-27.73658619387804,-47.658557356313324,-47.66358716035319,-27.600671505596406,-47.76045202247249,-47.894442566720954
