x, y, z
-1.0,6.0,0.57
-1.0,7.0,0.57
-1.0,8.0,0.57
-1.0,9.0,0.57
0.0,0.0,0.57
0.0,1.0,0.57
0.0,2.0,0.57
0.0,3.0,0.57
0.0,4.0,0.57
0.0,5.0,0.57
0.0,6.0,0.57
0.0,7.0,0.57
0.0,8.0,0.57
0.0,9.0,0.57
0.0,10.0,0.57
0.0,11.0,0.57
1.0,0.0,0.57
1.0,1.0,0.57
1.0,2.0,0.57
1.0,3.0,0.57
1.0,4.0,0.57
1.0,5.0,0.57
1.0,6.0,0.57
1.0,7.0,0.57
1.0,8.0,0.57
1.0,9.0,0.57
1.0,10.0,0.57
1.0,11.0,0.57
2.0,0.0,0.57
2.0,1.0,0.57
2.0,2.0,0.57
2.0,3.0,0.57
2.0,4.0,0.57
2.0,5.0,0.57
2.0,6.0,0.57
2.0,7.0,0.57
2.0,8.0,0.57
2.0,9.0,0.57
2.0,10.0,0.57
2.0,11.0,0.57
3.0,0.0,0.57
3.0,1.0,0.57
3.0,3.0,0.57
3.0,5.0,0.57
3.0,7.0,0.57
3.0,9.0,0.57
3.0,11.0,0.57
4.0,0.0,0.57
4.0,1.0,0.57
4.0,2.0,0.57
4.0,3.0,0.57
4.0,5.0,0.57
4.0,7.0,0.57
4.0,9.0,0.57
4.0,11.0,0.57
5.0,0.0,0.57
5.0,1.0,0.57
5.0,2.0,0.57
5.0,3.0,0.57
5.0,5.0,0.57
5.0,7.0,0.57
5.0,10.0,0.57
5.0,11.0,0.57
6.0,0.0,0.57
6.0,1.0,0.57
6.0,2.0,0.57
6.0,3.0,0.57
6.0,4.0,0.57
6.0,5.0,0.57
6.0,6.0,0.57
6.0,7.0,0.57
6.0,8.0,0.57
6.0,9.0,0.57
6.0,10.0,0.57
6.0,11.0,0.57
7.0,0.0,0.57
7.0,1.0,0.57
7.0,2.0,0.57
7.0,3.0,0.57
7.0,4.0,0.57
7.0,5.0,0.57
7.0,6.0,0.57
7.0,7.0,0.57
7.0,8.0,0.57
7.0,9.0,0.57
7.0,10.0,0.57
7.0,11.0,0.57
8.0,6.0,0.57
8.0,7.0,0.57
8.0,8.0,0.57
8.0,9.0,0.57
8.0,10.0,0.57
8.0,11.0,0.57
9.0,6.0,0.57
9.0,8.0,0.57
9.0,10.0,0.57
9.0,11.0,0.57
10.0,6.0,0.57
10.0,7.0,0.57
10.0,8.0,0.57
10.0,9.0,0.57
10.0,10.0,0.57
10.0,11.0,0.57
11.0,6.0,0.57
11.0,7.0,0.57
11.0,8.0,0.57
11.0,9.0,0.57
11.0,10.0,0.57
11.0,11.0,0.57
12.0,7.0,0.57
12.0,8.0,0.57
12.0,9.0,0.57
12.0,10.0,0.57
12.0,11.0,0.57
13.0,7.0,0.57
13.0,9.0,0.57
13.0,10.0,0.57
13.0,11.0,0.57
13.0,14.0,0.57
14.0,10.0,0.57
14.0,11.0,0.57
