x,y,z
0.0,0.0,0.3480816
0.0,0.6096,0.3480816
0.0,6.096,0.3480816
0.0,6.7056000000000004,0.3480816
0.0,1.2192,0.3480816
0.0,1.8288000000000002,0.3480816
0.0,2.4384,0.3480816
0.0,3.048,0.3480816
0.0,3.6576000000000004,0.3480816
0.0,4.2672,0.3480816
0.0,4.8768,0.3480816
0.0,5.486400000000001,0.3480816
6.096,6.096,0.3480816
6.096,6.7056000000000004,0.3480816
6.096,4.2672,0.3480816
6.096,4.8768,0.3480816
6.096,5.486400000000001,0.3480816
6.7056000000000004,6.096,0.3480816
6.7056000000000004,6.7056000000000004,0.3480816
6.7056000000000004,5.486400000000001,0.3480816
7.315200000000001,6.096,0.3480816
7.315200000000001,6.7056000000000004,0.3480816
7.315200000000001,4.2672,0.3480816
7.315200000000001,4.8768,0.3480816
7.315200000000001,5.486400000000001,0.3480816
7.9248,6.096,0.3480816
7.9248,6.7056000000000004,0.3480816
7.9248,4.2672,0.3480816
7.9248,5.486400000000001,0.3480816
8.5344,6.096,0.3480816
8.5344,6.7056000000000004,0.3480816
0.6096,0.0,0.3480816
0.6096,0.6096,0.3480816
0.6096,6.096,0.3480816
0.6096,6.7056000000000004,0.3480816
0.6096,1.2192,0.3480816
0.6096,1.8288000000000002,0.3480816
0.6096,2.4384,0.3480816
0.6096,3.048,0.3480816
0.6096,3.6576000000000004,0.3480816
0.6096,4.2672,0.3480816
0.6096,4.8768,0.3480816
0.6096,5.486400000000001,0.3480816
1.2192,0.0,0.3480816
1.2192,0.6096,0.3480816
1.2192,6.096,0.3480816
1.2192,6.7056000000000004,0.3480816
1.2192,1.2192,0.3480816
1.2192,1.8288000000000002,0.3480816
1.2192,2.4384,0.3480816
1.2192,3.048,0.3480816
1.2192,3.6576000000000004,0.3480816
1.2192,4.2672,0.3480816
1.2192,4.8768,0.3480816
1.2192,5.486400000000001,0.3480816
1.8288000000000002,0.0,0.3480816
1.8288000000000002,0.6096,0.3480816
1.8288000000000002,6.7056000000000004,0.3480816
1.8288000000000002,1.8288000000000002,0.3480816
1.8288000000000002,3.048,0.3480816
1.8288000000000002,5.486400000000001,0.3480816
2.4384,0.0,0.3480816
2.4384,0.6096,0.3480816
2.4384,6.7056000000000004,0.3480816
2.4384,1.8288000000000002,0.3480816
2.4384,3.048,0.3480816
2.4384,4.2672,0.3480816
2.4384,5.486400000000001,0.3480816
3.048,0.0,0.3480816
3.048,0.6096,0.3480816
3.048,6.096,0.3480816
3.048,6.7056000000000004,0.3480816
3.048,1.8288000000000002,0.3480816
3.048,3.048,0.3480816
3.048,4.2672,0.3480816
3.6576000000000004,0.0,0.3480816
3.6576000000000004,0.6096,0.3480816
3.6576000000000004,6.096,0.3480816
3.6576000000000004,6.7056000000000004,0.3480816
3.6576000000000004,1.2192,0.3480816
3.6576000000000004,1.8288000000000002,0.3480816
3.6576000000000004,2.4384,0.3480816
3.6576000000000004,3.6576000000000004,0.3480816
3.6576000000000004,4.2672,0.3480816
3.6576000000000004,4.8768,0.3480816
3.6576000000000004,5.486400000000001,0.3480816
4.2672,0.0,0.3480816
4.2672,0.6096,0.3480816
4.2672,6.096,0.3480816
4.2672,6.7056000000000004,0.3480816
4.2672,1.2192,0.3480816
4.2672,1.8288000000000002,0.3480816
4.2672,2.4384,0.3480816
4.2672,3.048,0.3480816
4.2672,3.6576000000000004,0.3480816
4.2672,4.2672,0.3480816
4.2672,4.8768,0.3480816
4.2672,5.486400000000001,0.3480816
4.8768,6.096,0.3480816
4.8768,6.7056000000000004,0.3480816
4.8768,3.6576000000000004,0.3480816
4.8768,4.2672,0.3480816
4.8768,4.8768,0.3480816
4.8768,5.486400000000001,0.3480816
5.486400000000001,6.096,0.3480816
5.486400000000001,6.7056000000000004,0.3480816
5.486400000000001,4.8768,0.3480816
-0.6096,3.6576000000000004,0.3480816
-0.6096,4.2672,0.3480816
-0.6096,4.8768,0.3480816
-0.6096,5.486400000000001,0.3480816
